"Guid","AccountSource","AnnualRevenue","BillingCity","BillingCountry","BillingGeocodeAccuracy","BillingLatitude","BillingLongitude","BillingPostalCode","BillingState","BillingStreet","Description","Fax","Industry","IsCustomerPortal","Jigsaw","Name","NumberOfEmployees","ParentId","Phone","ShippingCity","ShippingCountry","ShippingGeocodeAccuracy","ShippingLatitude","ShippingLongitude","ShippingPostalCode","ShippingState","ShippingStreet","SicDesc","Type","Website"
01b47477-cb94-4447-8dfe-1815141550df,"#N/A",9.3056E10,Charlotte,United States,"#N/A","#N/A","#N/A",28202-4031,NC,100 N Tryon St Ste 220,Velso International is the leader in Manufacturing in Charlotte,"#N/A",Manufacturing,false,"#N/A",Dynazzy,"#N/A","#N/A",1.704.386.5681,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Customer,"#N/A"
027572db-81d9-4133-95f9-121f805c8203,"#N/A",2.38658603E8,Redcliffe,Australia,"#N/A","#N/A","#N/A",4020,QLD,5/19-21 Shields St,Matt Stecklein Hospital is the leader in Healthcare in Redcliffe,"#N/A",Healthcare,false,"#N/A",Omba,"#N/A","#N/A",(07) 7859 6584,Redcliffe,Australia,"#N/A","#N/A","#N/A",4020,QLD,5/19-21 Shields St,"#N/A",Customer,"#N/A"
04ec2941-db36-46a4-8740-1a1967d0ed6e,"#N/A",8.8519E10,Atlanta,United States,"#N/A","#N/A","#N/A",30339-1834,GA,2455 Paces Ferry Rd SE,"Cashless Systems, Inc. is the leader in Services in Atlanta","#N/A",Services,false,"#N/A",Edgeclub,"#N/A","#N/A",1.770.433.8211,Atlanta,US,"#N/A","#N/A","#N/A",30348-5715,GA,P.O. BOX 105715,"#N/A",Customer,"#N/A"
064aca53-5b90-4f34-a751-a64289801aef,"#N/A",2.4520919E7,Pueblo,United States,"#N/A","#N/A","#N/A",81005,CO,336 Erie Plaza,"#N/A","#N/A",Utilities,false,"#N/A",Linklinks,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Prospect,"#N/A"
076581a1-799e-4796-8c59-1afbcb6f4b05,"#N/A","#N/A",Toronto,Canada,"#N/A","#N/A","#N/A",L4B 1Y3,Ontario,150 Chestnut Street,"GBM is the worldwide leader in technology news and information on the Web and the producer of the longest-running and farthest-reaching television shows about technology. GBM's network of sites combines breakthrough interactive technology with engaging content and design and is consistently ranked as the Internet's leading content network in terms of both audience size and revenue, serving millions of users each day. The company's television programming is broadcast by the USA Network and the Sci-Fi Channel to more than 70 million households and is syndicated to broadcast television stations in the nation's top 120 markets, including the top 10 markets.","#N/A",Corporate Office,false,"#N/A",Global Media,14668,"#N/A",(905) 555-1212,Toronto,Canada,"#N/A","#N/A","#N/A",L4B 1Y3,Ontario,150 Chestnut Street,"#N/A",Prospect,"#N/A"
0b10d138-b9ac-4ae6-9978-346b1a5a1946,"#N/A",4.15880303E8,Balaclava,Australia,"#N/A","#N/A","#N/A",3183,VIC,5/5a The Avenue,Praveen Kagalkar Hospital is the leader in Healthcare in Balaclava,"#N/A",Healthcare,false,"#N/A",Babbleopia,"#N/A","#N/A",(03) 8569 6279,Balaclava,Australia,"#N/A","#N/A","#N/A",3183,VIC,5/5a The Avenue,"#N/A",Customer,"#N/A"
0c988827-dafd-4bc0-a3f2-c9d51a76f0e1,"#N/A",9351157.0,Lafayette,United States,"#N/A","#N/A","#N/A",47905,IN,0526 Hauk Plaza,"#N/A","#N/A",Energy,false,"#N/A",Thoughtsphere,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Prospect,"#N/A"
0ce7b364-3de7-4b3b-8963-3277d98b2a0c,"#N/A",3317099.0,Houston,United States,"#N/A","#N/A","#N/A",77240,TX,6051 Northridge Park,"#N/A","#N/A",Consulting,false,"#N/A",Gevee,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Prospect,"#N/A"
0ec9424b-fa6c-4d53-9ea3-40790e78c4d9,"#N/A",1.17386E11,Fairfield,United States,"#N/A","#N/A","#N/A",06828-0001,CT,3135 Easton Tpke,"Signal Processing, LLC is the leader in Technology in Fairfield","#N/A",Technology,false,"#N/A",Vitz,"#N/A","#N/A",1.203.373.2211,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Customer,"#N/A"
14725e8b-dc15-4601-a19e-2a293c175496,"#N/A",3308479.0,Sioux City,United States,"#N/A","#N/A","#N/A",51105,OH,574 Duke Circle,"#N/A","#N/A",Financial Services,false,"#N/A",Blogspan,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Prospect,"#N/A"
